name,distance_from_shielding,distance_from_ground
detector_dfs_0_dfg_30,0.0,30.0
detector_dfs_0_dfg_33,0.0,33.333333333333336
detector_dfs_0_dfg_36,0.0,36.666666666666664
detector_dfs_0_dfg_40,0.0,40.0
detector_dfs_0_dfg_43,0.0,43.333333333333336
detector_dfs_0_dfg_46,0.0,46.66666666666667
detector_dfs_0_dfg_50,0.0,50.0
detector_dfs_2_dfg_30,2.5,30.0
detector_dfs_2_dfg_33,2.5,33.333333333333336
detector_dfs_2_dfg_36,2.5,36.666666666666664
detector_dfs_2_dfg_40,2.5,40.0
detector_dfs_2_dfg_43,2.5,43.333333333333336
detector_dfs_2_dfg_46,2.5,46.66666666666667
detector_dfs_2_dfg_50,2.5,50.0
detector_dfs_5_dfg_30,5.0,30.0
detector_dfs_5_dfg_33,5.0,33.333333333333336
detector_dfs_5_dfg_36,5.0,36.666666666666664
detector_dfs_5_dfg_40,5.0,40.0
detector_dfs_5_dfg_43,5.0,43.333333333333336
detector_dfs_5_dfg_46,5.0,46.66666666666667
detector_dfs_5_dfg_50,5.0,50.0
detector_dfs_7_dfg_30,7.5,30.0
detector_dfs_7_dfg_33,7.5,33.333333333333336
detector_dfs_7_dfg_36,7.5,36.666666666666664
detector_dfs_7_dfg_40,7.5,40.0
detector_dfs_7_dfg_43,7.5,43.333333333333336
detector_dfs_7_dfg_46,7.5,46.66666666666667
detector_dfs_7_dfg_50,7.5,50.0
detector_dfs_10_dfg_20,10.0,20.0
detector_dfs_10_dfg_30,10.0,30.0
detector_dfs_10_dfg_31,10.0,31.666666666666668
detector_dfs_10_dfg_33,10.0,33.333333333333336
detector_dfs_10_dfg_35,10.0,35.0
detector_dfs_10_dfg_36,10.0,36.666666666666664
detector_dfs_10_dfg_38,10.0,38.333333333333336
detector_dfs_10_dfg_40,10.0,40.0
detector_dfs_10_dfg_43,10.0,43.333333333333336
detector_dfs_10_dfg_46,10.0,46.66666666666667
detector_dfs_10_dfg_50,10.0,50.0
detector_dfs_12_dfg_30,12.5,30.0
detector_dfs_12_dfg_31,12.5,31.666666666666668
detector_dfs_12_dfg_33,12.5,33.333333333333336
detector_dfs_12_dfg_35,12.5,35.0
detector_dfs_12_dfg_36,12.5,36.666666666666664
detector_dfs_12_dfg_38,12.5,38.333333333333336
detector_dfs_12_dfg_40,12.5,40.0
detector_dfs_15_dfg_30,15.0,30.0
detector_dfs_15_dfg_31,15.0,31.666666666666668
detector_dfs_15_dfg_33,15.0,33.333333333333336
detector_dfs_15_dfg_35,15.0,35.0
detector_dfs_15_dfg_36,15.0,36.666666666666664
detector_dfs_15_dfg_38,15.0,38.333333333333336
detector_dfs_15_dfg_40,15.0,40.0
detector_dfs_17_dfg_30,17.5,30.0
detector_dfs_17_dfg_31,17.5,31.666666666666668
detector_dfs_17_dfg_33,17.5,33.333333333333336
detector_dfs_17_dfg_35,17.5,35.0
detector_dfs_17_dfg_36,17.5,36.666666666666664
detector_dfs_17_dfg_38,17.5,38.333333333333336
detector_dfs_17_dfg_40,17.5,40.0
detector_dfs_20_dfg_30,20.0,30.0
detector_dfs_20_dfg_31,20.0,31.666666666666668
detector_dfs_20_dfg_33,20.0,33.333333333333336
detector_dfs_20_dfg_35,20.0,35.0
detector_dfs_20_dfg_36,20.0,36.666666666666664
detector_dfs_20_dfg_38,20.0,38.333333333333336
detector_dfs_20_dfg_40,20.0,40.0
detector_dfs_22_dfg_30,22.5,30.0
detector_dfs_22_dfg_31,22.5,31.666666666666668
detector_dfs_22_dfg_33,22.5,33.333333333333336
detector_dfs_22_dfg_35,22.5,35.0
detector_dfs_22_dfg_36,22.5,36.666666666666664
detector_dfs_22_dfg_38,22.5,38.333333333333336
detector_dfs_22_dfg_40,22.5,40.0
detector_dfs_25_dfg_20,25.0,20.0
detector_dfs_25_dfg_30,25.0,30.0
detector_dfs_25_dfg_31,25.0,31.666666666666668
detector_dfs_25_dfg_33,25.0,33.333333333333336
detector_dfs_25_dfg_35,25.0,35.0
detector_dfs_25_dfg_36,25.0,36.666666666666664
detector_dfs_25_dfg_38,25.0,38.333333333333336
detector_dfs_25_dfg_40,25.0,40.0
detector_dfs_25_dfg_50,25.0,50.0
detector_dfs_30_dfg_30,30.0,30.0
detector_dfs_30_dfg_33,30.0,33.333333333333336
detector_dfs_30_dfg_36,30.0,36.666666666666664
detector_dfs_30_dfg_40,30.0,40.0
detector_dfs_40_dfg_20,40.0,20.0
detector_dfs_40_dfg_35,40.0,35.0
detector_dfs_40_dfg_50,40.0,50.0
