index,name,distance_from_shielding,distance_from_ground,filename,ptrac_filename
0,detector_dfs_10_dfg_10,10.0,10.0,output/mctal/detector_dfs_10_dfg_10.mctal,output/ptrac/detector_dfs_10_dfg_10.ptrac
1,detector_dfs_10_dfg_15,10.0,15.0,output/mctal/detector_dfs_10_dfg_15.mctal,output/ptrac/detector_dfs_10_dfg_15.ptrac
2,detector_dfs_10_dfg_20,10.0,20.0,output/mctal/detector_dfs_10_dfg_20.mctal,output/ptrac/detector_dfs_10_dfg_20.ptrac
3,detector_dfs_10_dfg_25,10.0,25.0,output/mctal/detector_dfs_10_dfg_25.mctal,output/ptrac/detector_dfs_10_dfg_25.ptrac
4,detector_dfs_15_dfg_10,15.0,10.0,output/mctal/detector_dfs_15_dfg_10.mctal,output/ptrac/detector_dfs_15_dfg_10.ptrac
5,detector_dfs_15_dfg_15,15.0,15.0,output/mctal/detector_dfs_15_dfg_15.mctal,output/ptrac/detector_dfs_15_dfg_15.ptrac
6,detector_dfs_15_dfg_20,15.0,20.0,output/mctal/detector_dfs_15_dfg_20.mctal,output/ptrac/detector_dfs_15_dfg_20.ptrac
7,detector_dfs_15_dfg_25,15.0,25.0,output/mctal/detector_dfs_15_dfg_25.mctal,output/ptrac/detector_dfs_15_dfg_25.ptrac
8,detector_dfs_15_dfg_35,15.0,35.0,output/mctal/detector_dfs_15_dfg_35.mctal,output/ptrac/detector_dfs_15_dfg_35.ptrac
9,detector_dfs_15_dfg_45,15.0,45.0,output/mctal/detector_dfs_15_dfg_45.mctal,output/ptrac/detector_dfs_15_dfg_45.ptrac
10,detector_dfs_15_dfg_55,15.0,55.0,output/mctal/detector_dfs_15_dfg_55.mctal,output/ptrac/detector_dfs_15_dfg_55.ptrac
11,detector_dfs_20_dfg_10,20.0,10.0,output/mctal/detector_dfs_20_dfg_10.mctal,output/ptrac/detector_dfs_20_dfg_10.ptrac
12,detector_dfs_20_dfg_15,20.0,15.0,output/mctal/detector_dfs_20_dfg_15.mctal,output/ptrac/detector_dfs_20_dfg_15.ptrac
13,detector_dfs_20_dfg_20,20.0,20.0,output/mctal/detector_dfs_20_dfg_20.mctal,output/ptrac/detector_dfs_20_dfg_20.ptrac
14,detector_dfs_20_dfg_25,20.0,25.0,output/mctal/detector_dfs_20_dfg_25.mctal,output/ptrac/detector_dfs_20_dfg_25.ptrac
15,detector_dfs_20_dfg_35,20.0,35.0,output/mctal/detector_dfs_20_dfg_35.mctal,output/ptrac/detector_dfs_20_dfg_35.ptrac
16,detector_dfs_20_dfg_45,20.0,45.0,output/mctal/detector_dfs_20_dfg_45.mctal,output/ptrac/detector_dfs_20_dfg_45.ptrac
17,detector_dfs_20_dfg_55,20.0,55.0,output/mctal/detector_dfs_20_dfg_55.mctal,output/ptrac/detector_dfs_20_dfg_55.ptrac
18,detector_dfs_25_dfg_10,25.0,10.0,output/mctal/detector_dfs_25_dfg_10.mctal,output/ptrac/detector_dfs_25_dfg_10.ptrac
19,detector_dfs_25_dfg_15,25.0,15.0,output/mctal/detector_dfs_25_dfg_15.mctal,output/ptrac/detector_dfs_25_dfg_15.ptrac
20,detector_dfs_25_dfg_20,25.0,20.0,output/mctal/detector_dfs_25_dfg_20.mctal,output/ptrac/detector_dfs_25_dfg_20.ptrac
21,detector_dfs_25_dfg_25,25.0,25.0,output/mctal/detector_dfs_25_dfg_25.mctal,output/ptrac/detector_dfs_25_dfg_25.ptrac
22,detector_dfs_25_dfg_35,25.0,35.0,output/mctal/detector_dfs_25_dfg_35.mctal,output/ptrac/detector_dfs_25_dfg_35.ptrac
23,detector_dfs_25_dfg_45,25.0,45.0,output/mctal/detector_dfs_25_dfg_45.mctal,output/ptrac/detector_dfs_25_dfg_45.ptrac
24,detector_dfs_25_dfg_55,25.0,55.0,output/mctal/detector_dfs_25_dfg_55.mctal,output/ptrac/detector_dfs_25_dfg_55.ptrac
25,detector_dfs_30_dfg_15,30.0,15.0,output/mctal/detector_dfs_30_dfg_15.mctal,output/ptrac/detector_dfs_30_dfg_15.ptrac
26,detector_dfs_30_dfg_25,30.0,25.0,output/mctal/detector_dfs_30_dfg_25.mctal,output/ptrac/detector_dfs_30_dfg_25.ptrac
27,detector_dfs_30_dfg_35,30.0,35.0,output/mctal/detector_dfs_30_dfg_35.mctal,output/ptrac/detector_dfs_30_dfg_35.ptrac
28,detector_dfs_30_dfg_45,30.0,45.0,output/mctal/detector_dfs_30_dfg_45.mctal,output/ptrac/detector_dfs_30_dfg_45.ptrac
29,detector_dfs_30_dfg_55,30.0,55.0,output/mctal/detector_dfs_30_dfg_55.mctal,output/ptrac/detector_dfs_30_dfg_55.ptrac
30,detector_dfs_35_dfg_15,35.0,15.0,output/mctal/detector_dfs_35_dfg_15.mctal,output/ptrac/detector_dfs_35_dfg_15.ptrac
31,detector_dfs_35_dfg_25,35.0,25.0,output/mctal/detector_dfs_35_dfg_25.mctal,output/ptrac/detector_dfs_35_dfg_25.ptrac
32,detector_dfs_35_dfg_35,35.0,35.0,output/mctal/detector_dfs_35_dfg_35.mctal,output/ptrac/detector_dfs_35_dfg_35.ptrac
33,detector_dfs_35_dfg_45,35.0,45.0,output/mctal/detector_dfs_35_dfg_45.mctal,output/ptrac/detector_dfs_35_dfg_45.ptrac
34,detector_dfs_35_dfg_55,35.0,55.0,output/mctal/detector_dfs_35_dfg_55.mctal,output/ptrac/detector_dfs_35_dfg_55.ptrac
